slice,kind,label,n,residual,ci_lo,ci_hi,p,fdr
"GLOBAL (all modes, all maps)",pair,"Meeple + Bibi",145,-0.072625,-0.150847,0.004397,0.07181,false
"GLOBAL (all modes, all maps)",pair,"Najia + Edgar",147,0.073890,-0.008840,0.153334,0.07250,false
"GLOBAL (all modes, all maps)",pair,"Charlie + 8-Bit",82,-0.096804,-0.197203,0.013999,0.07319,false
"GLOBAL (all modes, all maps)",pair,"Griff + Grom",92,-0.092482,-0.194065,0.006711,0.07364,false
"GLOBAL (all modes, all maps)",pair,"Starr Nova + Bea",79,0.100682,-0.014318,0.210647,0.07480,false
"GLOBAL (all modes, all maps)",pair,"Colette + Rico",181,-0.061791,-0.131390,0.006542,0.07650,false
"GLOBAL (all modes, all maps)",pair,"Meeple + Mortis",547,-0.037381,-0.078999,0.004037,0.07660,false
"GLOBAL (all modes, all maps)",pair,"Starr Nova + Bo",395,0.042941,-0.005254,0.089870,0.07680,false
"GLOBAL (all modes, all maps)",pair,"Starr Nova + Mico",159,0.065524,-0.008555,0.137467,0.07771,false
"GLOBAL (all modes, all maps)",triple,"Griff + 8-Bit + Crow",76,-0.097615,-0.205191,0.009489,0.07876,false
"GLOBAL (all modes, all maps)",pair,"Ash + Rico",106,0.080331,-0.012922,0.166469,0.07951,false
"GLOBAL (all modes, all maps)",pair,"Melodie + Colette",78,0.098003,-0.019095,0.207494,0.07977,false
"GLOBAL (all modes, all maps)",pair,"Griff + Amber",107,-0.083039,-0.174955,0.010685,0.08068,false
"GLOBAL (all modes, all maps)",pair,"Starr Nova + Damian",355,0.045963,-0.001769,0.101798,0.08110,false
"GLOBAL (all modes, all maps)",pair,"Griff + Crow",1795,0.020987,-0.002020,0.044531,0.08168,false
"GLOBAL (all modes, all maps)",pair,"Piper + Jessie",69,-0.102173,-0.219988,0.013508,0.08198,false
"GLOBAL (all modes, all maps)",pair,"Pierce + Darryl",74,-0.096548,-0.203416,0.012894,0.08305,false
"GLOBAL (all modes, all maps)",pair,"Crow + Colt",849,-0.028472,-0.060182,0.003578,0.08380,false
"GLOBAL (all modes, all maps)",pair,"Crow + Mortis",661,0.034041,-0.004409,0.074596,0.08486,false
"GLOBAL (all modes, all maps)",pair,"Pearl + Leon",125,0.075221,-0.010503,0.163237,0.08493,false
"GLOBAL (all modes, all maps)",pair,"Chuck + Meg",92,-0.086827,-0.184339,0.018435,0.08502,false
"GLOBAL (all modes, all maps)",pair,"Charlie + Max",117,0.081460,-0.011087,0.172912,0.08533,false
"GLOBAL (all modes, all maps)",pair,"Pierce + Spike",186,0.062835,-0.014535,0.132816,0.08547,false
"GLOBAL (all modes, all maps)",triple,"Griff + Surge + Crow",60,0.111872,-0.019784,0.238552,0.08691,false
"GLOBAL (all modes, all maps)",pair,"Nani + Bo",66,-0.102265,-0.215376,0.015499,0.08727,false
"GLOBAL (all modes, all maps)",pair,"Ash + Stu",89,0.086471,-0.015057,0.179255,0.08776,false
"GLOBAL (all modes, all maps)",pair,"Edgar + Tick",259,0.050969,-0.009382,0.108118,0.08781,false
"GLOBAL (all modes, all maps)",pair,"Najia + Mina",77,-0.094485,-0.194961,0.017095,0.08824,false
"GLOBAL (all modes, all maps)",pair,"Melodie + Crow",173,-0.063909,-0.136040,0.014555,0.08841,false
"GLOBAL (all modes, all maps)",pair,"Emz + Poco",70,0.100180,-0.022307,0.213207,0.08882,false
"GLOBAL (all modes, all maps)",pair,"Starr Nova + Otis",490,0.039235,-0.004225,0.084116,0.08888,false
"GLOBAL (all modes, all maps)",pair,"Berry + Nita",71,0.098076,-0.011568,0.209448,0.08900,false
"GLOBAL (all modes, all maps)",pair,"Chuck + Brock",215,-0.057543,-0.122555,0.010767,0.08929,false
"GLOBAL (all modes, all maps)",pair,"Edgar + Barley",84,0.090718,-0.018235,0.192917,0.08934,false
"GLOBAL (all modes, all maps)",pair,"Mina + Surge",310,0.048808,-0.008661,0.103761,0.09132,false
"GLOBAL (all modes, all maps)",pair,"Griff + Piper",462,-0.038969,-0.083239,0.006244,0.09175,false
"GLOBAL (all modes, all maps)",pair,"Mina + Rico",203,0.057648,-0.011196,0.126571,0.09368,false
"GLOBAL (all modes, all maps)",pair,"Meeple + Kit",116,-0.075252,-0.162687,0.013922,0.09383,false
"GLOBAL (all modes, all maps)",pair,"Gus + Colt",82,0.091413,-0.015116,0.198336,0.09414,false
"GLOBAL (all modes, all maps)",pair,"Starr Nova + Surge",792,-0.029302,-0.062032,0.006079,0.09462,false
"GLOBAL (all modes, all maps)",pair,"Starr Nova + Ash",110,0.075695,-0.014947,0.160911,0.09518,false
"GLOBAL (all modes, all maps)",pair,"Griff + Darryl",89,0.089166,-0.026479,0.189499,0.09608,false
"GLOBAL (all modes, all maps)",pair,"Gigi + Griff",99,0.081016,-0.020219,0.175813,0.09630,false
"GLOBAL (all modes, all maps)",pair,"Piper + Rico",217,-0.056275,-0.122299,0.008469,0.09671,false
"GLOBAL (all modes, all maps)",pair,"Dynamike + Spike",106,-0.077785,-0.171172,0.013007,0.09687,false
"GLOBAL (all modes, all maps)",pair,"Berry + Cordelius",70,0.099492,-0.014238,0.218938,0.09716,false
"GLOBAL (all modes, all maps)",pair,"Cordelius + Edgar",208,0.055960,-0.008900,0.120832,0.09751,false
"GLOBAL (all modes, all maps)",pair,"Meeple + Meg",855,-0.027972,-0.061167,0.004746,0.09765,false
"GLOBAL (all modes, all maps)",pair,"Edgar + Jessie",191,0.056929,-0.009945,0.122702,0.09805,false
"GLOBAL (all modes, all maps)",pair,"Najia + Angelo",62,0.107584,-0.019930,0.234312,0.10075,false
"GLOBAL (all modes, all maps)",pair,"Grom + Piper",85,0.083885,-0.018802,0.180010,0.10160,false
"GLOBAL (all modes, all maps)",pair,"Kaze + Mico",78,-0.093123,-0.208110,0.017598,0.10444,false
"GLOBAL (all modes, all maps)",pair,"Meg + Lou",225,-0.055642,-0.121861,0.012580,0.10455,false
"GLOBAL (all modes, all maps)",pair,"Lily + Crow",166,0.064555,-0.018546,0.136993,0.10465,false
"GLOBAL (all modes, all maps)",pair,"Kenji + Griff",333,0.043364,-0.009368,0.096678,0.10490,false
"GLOBAL (all modes, all maps)",pair,"Kaze + Carl",75,0.090788,-0.019892,0.201113,0.10540,false
"GLOBAL (all modes, all maps)",pair,"Bibi + Bull",119,0.070033,-0.016441,0.151255,0.10574,false
"GLOBAL (all modes, all maps)",pair,"Otis + Bibi",142,-0.067088,-0.145867,0.013608,0.10588,false
"GLOBAL (all modes, all maps)",pair,"Crow + Dynamike",134,0.070868,-0.014987,0.161166,0.10657,false
"GLOBAL (all modes, all maps)",pair,"Surge + Spike",388,0.040252,-0.009886,0.090358,0.10767,false
"GLOBAL (all modes, all maps)",pair,"Berry + Colt",189,0.058043,-0.014163,0.129464,0.10814,false
"GLOBAL (all modes, all maps)",triple,"Meg + Stu + Crow",67,-0.098720,-0.210944,0.030866,0.10826,false
"GLOBAL (all modes, all maps)",pair,"Lumi + Brock",130,-0.069749,-0.150921,0.014041,0.10854,false
"GLOBAL (all modes, all maps)",pair,"Tick + Colt",119,-0.071912,-0.160490,0.014143,0.10862,false
"GLOBAL (all modes, all maps)",pair,"Pierce + Lou",162,-0.060971,-0.134066,0.013123,0.10876,false
"GLOBAL (all modes, all maps)",pair,"Pierce + Meg",576,0.032916,-0.006569,0.072886,0.10911,false
